id,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie,data_godzina
1,12295,Białystok,2025-05-07,19:00:00,7.1,1.0,320.0,46.6,0.0,1019.0,2025-05-07 19:00:00
2,12600,Bielsko Biała,2025-05-07,19:00:00,10.2,3.0,40.0,51.7,0.01,1017.4,2025-05-07 19:00:00
3,12235,Chojnice,2025-05-07,19:00:00,7.0,2.0,50.0,55.6,0.0,1022.0,2025-05-07 19:00:00
4,12550,Częstochowa,2025-05-07,19:00:00,8.6,3.0,350.0,43.6,0.0,1018.8,2025-05-07 19:00:00
5,12160,Elbląg,2025-05-07,19:00:00,3.1,3.0,20.0,63.6,0.0,1022.2,2025-05-07 19:00:00
6,12155,Gdańsk,2025-05-07,19:00:00,5.7,4.0,30.0,57.8,0.2,1022.6,2025-05-07 19:00:00
7,12300,Gorzów,2025-05-07,19:00:00,10.6,2.0,70.0,44.5,0.0,1020.9,2025-05-07 19:00:00
8,12135,Hel,2025-05-07,19:00:00,4.4,3.0,10.0,60.6,1.0,1023.2,2025-05-07 19:00:00
9,12500,Jelenia Góra,2025-05-07,19:00:00,8.9,2.0,50.0,44.7,0.0,1019.3,2025-05-07 19:00:00
10,12435,Kalisz,2025-05-07,19:00:00,7.6,4.0,30.0,60.9,0.0,1020.4,2025-05-07 19:00:00
11,12650,Kasprowy Wierch,2025-05-07,19:00:00,-3.4,5.0,30.0,100.0,2.9,0.0,2025-05-07 19:00:00
12,12560,Katowice,2025-05-07,19:00:00,11.2,1.0,30.0,38.5,0.0,1017.6,2025-05-07 19:00:00
13,12185,Kętrzyn,2025-05-07,19:00:00,3.1,3.0,330.0,60.8,0.0,1021.1,2025-05-07 19:00:00
14,12570,Kielce,2025-05-07,19:00:00,7.8,3.0,20.0,45.7,0.0,1018.7,2025-05-07 19:00:00
15,12520,Kłodzko,2025-05-07,19:00:00,9.6,2.0,10.0,48.6,0.0,1018.8,2025-05-07 19:00:00
16,12345,Koło,2025-05-07,19:00:00,7.5,2.0,20.0,51.0,0.0,1020.2,2025-05-07 19:00:00
17,12100,Kołobrzeg,2025-05-07,19:00:00,9.1,5.0,50.0,62.6,0.0,1022.1,2025-05-07 19:00:00
18,12105,Koszalin,2025-05-07,19:00:00,7.5,2.0,20.0,57.8,0.0,1022.2,2025-05-07 19:00:00
19,12488,Kozienice,2025-05-07,19:00:00,7.4,2.0,360.0,49.5,0.0,1019.4,2025-05-07 19:00:00
20,12566,Kraków,2025-05-07,19:00:00,11.0,2.0,10.0,51.6,0.0,1017.5,2025-05-07 19:00:00
21,12670,Krosno,2025-05-07,19:00:00,9.9,1.0,10.0,54.7,0.0,1017.0,2025-05-07 19:00:00
22,12415,Legnica,2025-05-07,19:00:00,10.1,4.0,30.0,43.7,0.0,1019.1,2025-05-07 19:00:00
23,12690,Lesko,2025-05-07,19:00:00,9.3,2.0,10.0,58.7,0.8,1016.6,2025-05-07 19:00:00
24,12418,Leszno,2025-05-07,19:00:00,8.8,4.0,50.0,49.5,0.0,1020.4,2025-05-07 19:00:00
25,12125,Lębork,2025-05-07,19:00:00,5.2,4.0,60.0,76.8,0.5,1022.6,2025-05-07 19:00:00
26,12495,Lublin,2025-05-07,19:00:00,5.4,2.0,10.0,58.6,0.0,1019.0,2025-05-07 19:00:00
27,12120,Łeba,2025-05-07,19:00:00,5.0,3.0,80.0,75.7,0.01,1022.9,2025-05-07 19:00:00
28,12465,Łódź,2025-05-07,19:00:00,8.1,4.0,20.0,45.8,0.0,1020.1,2025-05-07 19:00:00
29,12280,Mikołajki,2025-05-07,19:00:00,3.8,4.0,330.0,56.9,0.0,1020.8,2025-05-07 19:00:00
30,12270,Mława,2025-05-07,19:00:00,6.6,2.0,10.0,56.8,0.0,1020.8,2025-05-07 19:00:00
31,12660,Nowy Sącz,2025-05-07,19:00:00,10.8,2.0,40.0,55.7,0.01,1017.1,2025-05-07 19:00:00
32,12272,Olsztyn,2025-05-07,19:00:00,5.1,2.0,360.0,63.5,0.0,1021.2,2025-05-07 19:00:00
33,12530,Opole,2025-05-07,19:00:00,9.5,4.0,20.0,41.6,0.0,1018.4,2025-05-07 19:00:00
34,12285,Ostrołęka,2025-05-07,19:00:00,5.9,2.0,99.0,57.9,0.0,1020.3,2025-05-07 19:00:00
35,12230,Piła,2025-05-07,19:00:00,8.5,1.0,310.0,51.7,0.0,1021.1,2025-05-07 19:00:00
36,12001,Platforma,2025-05-07,19:00:00,0.0,6.0,50.0,0.0,0.0,0.0,2025-05-07 19:00:00
37,12360,Płock,2025-05-07,19:00:00,5.0,1.0,360.0,68.9,0.0,1020.6,2025-05-07 19:00:00
38,12330,Poznań,2025-05-07,19:00:00,9.0,3.0,60.0,44.7,0.0,1020.8,2025-05-07 19:00:00
39,12695,Przemyśl,2025-05-07,19:00:00,10.5,2.0,99.0,54.1,0.7,1016.4,2025-05-07 19:00:00
40,12540,Racibórz,2025-05-07,19:00:00,11.0,2.0,360.0,49.7,0.0,1017.4,2025-05-07 19:00:00
41,12210,Resko,2025-05-07,18:00:00,10.1,3.0,30.0,39.7,0.3,1021.4,2025-05-07 18:00:00
42,12580,Rzeszów,2025-05-07,19:00:00,9.2,3.0,350.0,49.6,0.0,1017.3,2025-05-07 19:00:00
43,12585,Sandomierz,2025-05-07,19:00:00,7.6,3.0,10.0,47.7,0.0,1018.2,2025-05-07 19:00:00
44,12385,Siedlce,2025-05-07,19:00:00,6.6,2.0,340.0,53.5,0.0,1019.4,2025-05-07 19:00:00
45,12310,Słubice,2025-05-07,19:00:00,10.4,2.0,100.0,44.7,0.0,1020.4,2025-05-07 19:00:00
46,12469,Sulejów,2025-05-07,19:00:00,7.8,4.0,20.0,49.6,0.0,1019.6,2025-05-07 19:00:00
47,12195,Suwałki,2025-05-07,19:00:00,4.8,3.0,300.0,58.9,0.0,1019.6,2025-05-07 19:00:00
48,12205,Szczecin,2025-05-07,19:00:00,10.9,2.0,30.0,43.6,0.0,1021.3,2025-05-07 19:00:00
49,12215,Szczecinek,2025-05-07,19:00:00,8.1,2.0,99.0,47.9,0.0,1021.7,2025-05-07 19:00:00
50,12510,Śnieżka,2025-05-07,19:00:00,-2.7,10.0,60.0,84.7,0.0,0.0,2025-05-07 19:00:00
51,12200,Świnoujście,2025-05-07,19:00:00,10.2,6.0,40.0,59.8,0.2,1021.9,2025-05-07 19:00:00
52,12575,Tarnów,2025-05-07,19:00:00,10.7,1.0,30.0,48.6,0.0,1017.2,2025-05-07 19:00:00
53,12399,Terespol,2025-05-07,19:00:00,5.8,2.0,350.0,51.7,0.0,1018.7,2025-05-07 19:00:00
54,12250,Toruń,2025-05-07,19:00:00,7.5,2.0,10.0,44.6,0.0,1021.2,2025-05-07 19:00:00
55,12115,Ustka,2025-05-07,19:00:00,8.0,4.0,60.0,78.9,0.01,1022.4,2025-05-07 19:00:00
56,12375,Warszawa,2025-05-07,19:00:00,8.3,5.0,360.0,44.5,0.0,1019.9,2025-05-07 19:00:00
57,12455,Wieluń,2025-05-07,19:00:00,8.5,4.0,30.0,50.5,0.0,1019.5,2025-05-07 19:00:00
58,12497,Włodawa,2025-05-07,19:00:00,6.5,3.0,350.0,47.8,0.0,1018.6,2025-05-07 19:00:00
59,12424,Wrocław,2025-05-07,19:00:00,10.5,3.0,40.0,43.5,0.0,1019.3,2025-05-07 19:00:00
60,12625,Zakopane,2025-05-07,19:00:00,6.5,1.0,40.0,59.7,2.3,0.0,2025-05-07 19:00:00
61,12595,Zamość,2025-05-07,19:00:00,6.7,4.0,360.0,52.7,0.4,1017.9,2025-05-07 19:00:00
62,12400,Zielona Góra,2025-05-07,19:00:00,9.4,2.0,70.0,42.5,0.0,1020.4,2025-05-07 19:00:00
125,12295,Białystok,2025-05-07,20:00:00,6.5,3.0,320.0,44.7,0.0,1019.0,2025-05-07 20:00:00
126,12600,Bielsko Biała,2025-05-07,20:00:00,9.3,2.0,60.0,56.6,0.01,1017.7,2025-05-07 20:00:00
127,12235,Chojnice,2025-05-07,20:00:00,5.5,3.0,70.0,74.7,0.0,1022.3,2025-05-07 20:00:00
